Px016979	XP_011566912.1
Px017866	XP_011563810.1
Px017868	XP_011567272.1
Px010069	XP_011568638.1
Px010070	XP_011562413.1
Px010071	XP_011562402.1
Px010072	XP_011562403.1
Px010073	XP_011556962.1
Px010074	XP_011562404.1
Px010075	XP_011562414.1
Px010076	XP_011562415.1
Px010077	XP_011556982.1
Px010078	XP_011562406.1
Px010079	XP_011562407.1
Px010080	XP_011562418.1
Px010083	XP_011562420.1
Px010084	XP_011562409.1
Px010085	XP_011562411.1
Px010086	XP_011562421.1
Px008917	XP_011558906.1
Px008918	XP_011558907.1
Px008919	XP_011558895.1
Px008920	XP_011548759.1
Px008921	XP_011558451.1
Px008922	XP_011558909.1
Px008923	XP_011558897.1
Px008924	XP_011556936.1
Px008925	XP_011549630.1
Px008926	XP_011558903.1
Px008927	XP_011558911.1
Px008928	XP_011558900.1
Px008930	XP_011558917.1
Px008931	XP_011558917.1
Px008934	XP_011558918.1
Px008935	XP_011559070.1
Px010723	XP_011563054.1
Px010724	XP_011563055.1
Px010725	XP_011563056.1
Px010726	XP_011563037.1
Px010727	XP_011556160.1
Px010728	XP_011563038.1
Px010729	XP_011563040.1
Px010730	XP_011563043.1
Px010731	XP_011563059.1
Px010733	XP_011563051.1
Px010734	XP_011563053.1
Px010735	XP_011562711.1
Px010736	XP_011563061.1
Px000735	XP_011561824.1
Px000736	XP_011567596.1
Px000474	XP_011567437.1
Px013136	XP_011548484.1
Px013137	XP_011548486.1
Px013138	XP_011548427.1
Px013139	XP_011548487.1
Px013141	XP_011548429.1
Px013142	XP_011548488.1
Px013143	XP_011548432.1
Px013144	XP_011548433.1
Px013145	XP_011548435.1
Px013146	XP_011548436.1
Px013147	XP_011548437.1
Px013148	XP_011548491.1
Px013149	XP_011551371.1
Px013150	XP_011564619.1
Px013151	XP_011564617.1
Px013152	XP_011548439.1
Px013153	XP_011555023.1
Px013154	XP_011547772.1
Px013155	XP_011560490.1
Px013157	XP_011549994.1
Px013159	XP_011548442.1
Px013161	XP_011548499.1
Px013162	XP_011548500.1
Px013163	XP_011548446.1
Px013164	XP_011548501.1
Px013165	XP_011548504.1
Px013168	XP_011548448.1
Px013169	XP_011548449.1
Px013170	XP_011548505.1
Px013172	XP_011548450.1
Px013173	XP_011549944.1
Px013174	XP_011548451.1
Px013175	XP_011548506.1
Px013176	XP_011548452.1
Px013177	XP_011548507.1
Px013179	XP_011548454.1
Px013180	XP_011548508.1
Px013181	XP_011550690.1
Px013182	XP_011567878.1
Px013183	XP_011548456.1
Px013184	XP_011548460.1
Px013185	XP_011548467.1
Px013186	XP_011548468.1
Px013187	XP_011548472.1
Px013188	XP_011548471.1
Px013189	XP_011548469.1
Px013190	XP_011548475.1
Px013191	XP_011548476.1
Px013192	XP_011548477.1
Px013193	XP_011548478.1
Px013194	XP_011548479.1
Px013195	XP_011548480.1
Px013196	XP_011548481.1
Px013197	XP_011548511.1
Px011835	XP_011566120.1
Px011836	XP_011559336.1
Px011837	XP_011559360.1
Px011838	XP_011559341.1
Px011839	XP_011559343.1
Px011840	XP_011559344.1
Px011841	XP_011559361.1
Px011842	XP_011559345.1
Px011843	XP_011559362.1
Px011844	XP_011559347.1
Px011845	XP_011559348.1
Px011846	XP_011559349.1
Px011847	XP_011569285.1
Px011848	XP_011550874.1
Px011849	XP_011559351.1
Px011850	XP_011559352.1
Px011851	XP_011559366.1
Px011852	XP_011559367.1
Px011853	XP_011553557.1
Px011856	XP_011559368.1
Px011857	XP_011559369.1
Px011858	XP_011563237.1
Px011859	XP_011559370.1
Px011860	XP_011559355.1
Px011861	XP_011559356.1
Px012186	XP_011553343.1
Px012187	XP_011564059.1
Px012188	XP_011564060.1
Px012189	XP_011564061.1
Px012190	XP_011564063.1
Px012191	XP_011564068.1
Px012192	XP_011564068.1
Px012193	XP_011564069.1
Px012194	XP_011564070.1
Px012195	XP_011564072.1
Px012196	XP_011564073.1
Px012197	XP_011565749.1
Px012198	XP_011564065.1
Px012199	XP_011556624.1
Px012201	XP_011564066.1
Px000601	XP_011567471.1
Px008043	XP_011558345.1
Px008044	XP_011558346.1
Px008045	XP_011558347.1
Px008046	XP_011558377.1
Px008047	XP_011548588.1
Px008048	XP_011558352.1
Px008049	XP_011558353.1
Px008050	XP_011558355.1
Px008051	XP_011558380.1
Px008052	XP_011558381.1
Px008053	XP_011558359.1
Px008054	XP_011558364.1
Px008055	XP_011558382.1
Px008056	XP_011558383.1
Px008057	XP_011558384.1
Px008058	XP_011558365.1
Px008059	XP_011558367.1
Px008060	XP_011558368.1
Px008061	XP_011558369.1
Px008062	XP_011558385.1
Px008063	XP_011558373.1
Px008064	XP_011558371.1
Px008066	XP_011563194.1
Px008287	XP_011560892.1
Px008288	XP_011560912.1
Px008289	XP_011560893.1
Px008290	XP_011560894.1
Px008292	XP_011559860.1
Px008293	XP_011560914.1
Px008294	XP_011560914.1
Px008295	XP_011560901.1
Px008296	XP_011560900.1
Px008297	XP_011560906.1
Px008298	XP_011560908.1
Px008299	XP_011560909.1
Px008300	XP_011560911.1
Px012102	XP_011551467.1
Px012103	XP_011564162.1
Px012104	XP_011564176.1
Px012105	XP_011564163.1
Px012106	XP_011564165.1
Px012107	XP_011562062.1
Px012108	XP_011562061.1
Px012109	XP_011564167.1
Px012110	XP_011564177.1
Px012111	XP_011564169.1
Px012112	XP_011564170.1
Px012113	XP_011564171.1
Px012114	XP_011564178.1
Px012115	XP_011564179.1
Px012116	XP_011564172.1
Px012117	XP_011564174.1
Px016563	XP_011566662.1
Px016564	XP_011566658.1
Px016565	XP_011566660.1
Px016566	XP_011553549.1
Px009663	XP_011562151.1
Px009664	XP_011562152.1
Px009665	XP_011562142.1
Px009666	XP_011549657.1
Px009667	XP_011562146.1
Px009668	XP_011563517.1
Px009671	XP_011563682.1
Px009672	XP_011562158.1
Px009673	XP_011562148.1
Px009674	XP_011562150.1
Px009675	XP_011568854.1
Px009676	XP_011562160.1
Px009677	XP_011568856.1
Px001813	XP_011567892.1
Px000524	XP_011567501.1
Px000525	XP_011567502.1
Px000526	XP_011551468.1
Px006641	XP_011559627.1
Px006642	XP_011559587.1
Px006643	XP_011559590.1
Px006644	XP_011559592.1
Px006645	XP_011559595.1
Px006646	XP_011559596.1
Px006647	XP_011566593.1
Px006648	XP_011559601.1
Px006649	XP_011559602.1
Px006650	XP_011559628.1
Px006651	XP_011559603.1
Px006652	XP_011559604.1
Px006653	XP_011559605.1
Px006654	XP_011559629.1
Px006655	XP_011559631.1
Px006656	XP_011559607.1
Px006657	XP_011564964.1
Px006658	XP_011559631.1
Px006660	XP_011559609.1
Px006661	XP_011559632.1
Px006662	XP_011559633.1
Px006663	XP_011559611.1
Px006664	XP_011559612.1
Px006665	XP_011559634.1
Px006667	XP_011559613.1
Px006668	XP_011559614.1
Px006669	XP_011559618.1
Px006670	XP_011559616.1
Px006671	XP_011559615.1
Px006672	XP_011559624.1
Px006673	XP_011559625.1
Px006674	XP_011559636.1
Px003535	XP_011560111.1
Px009045	XP_011561627.1
Px009046	XP_011561617.1
Px009047	XP_011561618.1
Px009048	XP_011561628.1
Px009049	XP_011561629.1
Px009050	XP_011561620.1
Px009051	XP_011561630.1
Px009052	XP_011561621.1
Px009053	XP_011561631.1
Px009054	XP_011557369.1
Px004363	XP_011568177.1
Px010755	XP_011563446.1
Px010756	XP_011562866.1
Px010757	XP_011562877.1
Px010758	XP_011562887.1
Px010759	XP_011562899.1
Px010760	XP_011562907.1
Px010761	XP_011562926.1
Px010762	XP_011563471.1
Px010763	XP_011562936.1
Px010764	XP_011562946.1
Px010765	XP_011563483.1
Px010766	XP_011563483.1
Px010767	XP_011563506.1
Px010768	XP_011568133.1
Px010769	XP_011563551.1
Px010770	XP_011563551.1
Px010771	XP_011562957.1
Px010772	XP_011562968.1
Px010773	XP_011553035.1
Px010774	XP_011563584.1
Px010775	XP_011562657.1
Px010777	XP_011556201.1
Px010778	XP_011563849.1
Px010779	XP_011563024.1
Px010780	XP_011563010.1
Px010781	XP_011563052.1
Px010782	XP_011563062.1
Px010783	XP_011563070.1
Px010784	XP_011563079.1
Px010785	XP_011563669.1
Px010786	XP_011563681.1
Px010788	XP_011563692.1
Px010789	XP_011563102.1
Px010791	XP_011563713.1
Px010792	XP_011563722.1
Px010793	XP_011563735.1
Px010794	XP_011563751.1
Px010795	XP_011563751.1
Px010796	XP_011563137.1
Px010797	XP_011563148.1
Px010798	XP_011563761.1
Px010799	XP_011560930.1
Px010800	XP_011563772.1
Px010801	XP_011549324.1
Px010802	XP_011563783.1
Px010803	XP_011563793.1
Px010804	XP_011563803.1
Px010805	XP_011563229.1
Px010806	XP_011563238.1
Px010807	XP_011563249.1
Px010808	XP_011563814.1
Px010809	XP_011563257.1
Px010810	XP_011563268.1
Px010811	XP_011563291.1
Px010812	XP_011552633.1
Px010814	XP_011563832.1
Px010815	XP_011563853.1
Px010816	XP_011563359.1
Px010817	XP_011563371.1
Px010818	XP_011563384.1
Px010819	XP_011563865.1
Px010820	XP_011563395.1
Px010821	XP_011562107.1
Px010822	XP_011558312.1
Px010823	XP_011551479.1
Px010824	XP_011563425.1
Px010825	XP_011563896.1
Px010827	XP_011563908.1
Px010828	XP_011563919.1
Px010831	XP_011563435.1
Px010833	XP_011563951.1
Px004856	XP_011554209.1
Px004858	XP_011554194.1
Px004860	XP_011554195.1
Px004861	XP_011554210.1
Px004864	XP_011554197.1
Px004866	XP_011554211.1
Px004867	XP_011554216.1
Px004868	XP_011554200.1
Px004869	XP_011568534.1
Px004870	XP_011556624.1
Px004871	XP_011554218.1
Px004872	XP_011554218.1
Px004874	XP_011554219.1
Px004875	XP_011554201.1
Px004876	XP_011554205.1
Px004877	XP_011554221.1
Px004878	XP_011559485.1
Px004879	XP_011559484.1
Px004880	XP_011559483.1
Px004881	XP_011554208.1
Px004882	XP_011554226.1
Px004883	XP_011554227.1
Px000260	XP_011566826.1
Px000261	XP_011567341.1
Px000262	XP_011567342.1
Px016348	XP_011566612.1
Px018049	XP_011566060.1
Px018050	XP_011567338.1
Px018051	XP_011567339.1
Px018055	XP_011556339.1
Px018056	XP_011564483.1
Px001957	XP_011567904.1
Px001321	XP_011567746.1
Px010678	XP_011562882.1
Px010681	XP_011562883.1
Px010682	XP_011562886.1
Px010683	XP_011562905.1
Px010684	XP_011562888.1
Px010685	XP_011563195.1
Px010686	XP_011562893.1
Px010687	XP_011562894.1
Px010688	XP_011562895.1
Px010691	XP_011562896.1
Px010693	XP_011562898.1
Px010694	XP_011562900.1
Px010695	XP_011562901.1
Px010696	XP_011562908.1
Px010697	XP_011568515.1
Px010698	XP_011568514.1
Px010699	XP_011568431.1
Px013904	XP_011565293.1
Px013905	XP_011556936.1
Px013906	XP_011565292.1
Px013907	XP_011565294.1
Px013908	XP_011565297.1
Px016246	XP_011551473.1
Px006395	XP_011559272.1
Px006396	XP_011559248.1
Px006397	XP_011559253.1
Px006398	XP_011559256.1
Px006399	XP_011559257.1
Px006400	XP_011559258.1
Px006401	XP_011559259.1
Px006402	XP_011559273.1
Px006403	XP_011559273.1
Px006404	XP_011559204.1
Px006405	XP_011559275.1
Px006406	XP_011559261.1
Px006407	XP_011559264.1
Px006408	XP_011559277.1
Px006409	XP_011561427.1
Px006410	XP_011559278.1
Px006411	XP_011559265.1
Px006413	XP_011559268.1
Px006414	XP_011551371.1
Px006415	XP_011565362.1
Px006416	XP_011559279.1
Px006417	XP_011559269.1
Px006418	XP_011559283.1
Px006419	XP_011559271.1
Px017807	XP_011567265.1
Px017808	XP_011567266.1
Px017814	XP_011567267.1
Px003989	XP_011556835.1
Px003992	XP_011556836.1
Px003994	XP_011556837.1
Px003995	XP_011556838.1
Px003998	XP_011556813.1
Px003999	XP_011556814.1
Px004000	XP_011556839.1
Px004001	XP_011556840.1
Px004002	XP_011556816.1
Px004003	XP_011566900.1
Px004004	XP_011556842.1
Px004005	XP_011556817.1
Px004006	XP_011556844.1
Px004007	XP_011556818.1
Px004008	XP_011556819.1
Px004009	XP_011556845.1
Px004010	XP_011556821.1
Px004011	XP_011556820.1
Px004012	XP_011566377.1
Px004013	XP_011556846.1
Px004014	XP_011556828.1
Px004015	XP_011556829.1
Px004016	XP_011556830.1
Px004017	XP_011556831.1
Px014605	XP_011565739.1
Px014606	XP_011553130.1
Px014607	XP_011565744.1
Px014608	XP_011565742.1
Px014609	XP_011565745.1
Px014610	XP_011565746.1
Px014611	XP_011565743.1
Px014612	XP_011568604.1
Px014588	XP_011554211.1
Px014589	XP_011565703.1
Px014590	XP_011565916.1
Px014591	XP_011565703.1
Px014592	XP_011565704.1
Px014593	XP_011565705.1
Px014594	XP_011562856.1
Px014595	XP_011566463.1
Px014596	XP_011565701.1
Px001313	XP_011567738.1
Px001314	XP_011567738.1
Px005132	XP_011556936.1
Px005133	XP_011561858.1
Px005134	XP_011557881.1
Px005135	XP_011557881.1
Px005138	XP_011557902.1
Px005139	XP_011557885.1
Px005140	XP_011557885.1
Px005142	XP_011557886.1
Px005143	XP_011560406.1
Px005144	XP_011557891.1
Px005145	XP_011557892.1
Px005146	XP_011557893.1
Px005148	XP_011557903.1
Px005149	XP_011557895.1
Px005150	XP_011557899.1
Px005151	XP_011557904.1
Px005152	XP_011557906.1
Px002468	XP_011567997.1
Px005612	XP_011558223.1
Px005613	XP_011558224.1
Px005614	XP_011565954.1
Px005615	XP_011558249.1
Px005616	XP_011558250.1
Px005617	XP_011558229.1
Px005618	XP_011558232.1
Px005620	XP_011558235.1
Px005621	XP_011558236.1
Px005622	XP_011558239.1
Px005624	XP_011558253.1
Px005625	XP_011558242.1
Px005627	XP_011562654.1
Px005628	XP_011556405.1
Px005629	XP_011558255.1
Px005630	XP_011563468.1
Px005631	XP_011558243.1
Px005632	XP_011562659.1
Px005633	XP_011562659.1
Px005634	XP_011558244.1
Px005635	XP_011558245.1
Px005636	XP_011562515.1
Px001950	XP_011567909.1
Px000249	XP_011567384.1
Px000251	XP_011567385.1
Px000252	XP_011567386.1
Px000254	XP_011567387.1
Px000255	XP_011567389.1
Px000258	XP_011567392.1
Px000259	XP_011567393.1
Px016792	XP_011559800.1
Px016793	XP_011559799.1
Px016795	XP_011563682.1
Px016796	XP_011566248.1
Px016797	XP_011566249.1
Px011639	XP_011563629.1
Px011640	XP_011563630.1
Px011641	XP_011563638.1
Px011642	XP_011563640.1
Px011643	XP_011563646.1
Px011644	XP_011563648.1
Px011645	XP_011563649.1
Px011646	XP_011563650.1
Px011647	XP_011563651.1
Px011648	XP_011558433.1
Px011650	XP_011563652.1
Px011651	XP_011563645.1
Px012714	XP_011564592.1
Px012716	XP_011564591.1
Px012717	XP_011564591.1
Px012718	XP_011564593.1
Px012719	XP_011564593.1
Px012720	XP_011564594.1
Px012721	XP_011564595.1
Px012722	XP_011564598.1
Px012723	XP_011564599.1
Px003874	XP_011569124.1
Px015050	XP_011566022.1
Px000427	XP_011567458.1
Px000428	XP_011567459.1
Px000429	XP_011567460.1
Px000430	XP_011567462.1
Px015143	XP_011566026.1
Px015144	XP_011566027.1
Px015145	XP_011566029.1
Px007899	XP_011560711.1
Px007900	XP_011560712.1
Px007901	XP_011560714.1
Px007902	XP_011560714.1
Px007903	XP_011560714.1
Px007904	XP_011560721.1
Px007905	XP_011560722.1
Px007906	XP_011560715.1
Px007907	XP_011560723.1
Px007908	XP_011560718.1
Px007909	XP_011560724.1
Px007910	XP_011560725.1
Px007911	XP_011560719.1
Px013364	XP_011554977.1
Px004582	XP_011557188.1
Px004583	XP_011557190.1
Px004584	XP_011557177.1
Px004585	XP_011557191.1
Px004586	XP_011557175.1
Px004587	XP_011557174.1
Px004588	XP_011557174.1
Px004589	XP_011557173.1
Px004590	XP_011557170.1
Px004591	XP_011557169.1
Px004592	XP_011557168.1
Px004593	XP_011557166.1
Px004594	XP_011557192.1
Px004595	XP_011557165.1
Px004596	XP_011557163.1
Px004597	XP_011557162.1
Px004598	XP_011557161.1
Px004599	XP_011553423.1
Px004600	XP_011557194.1
Px004601	XP_011557194.1
Px004603	XP_011557195.1
Px004604	XP_011549795.1
Px004605	XP_011557183.1
Px004606	XP_011557198.1
Px004607	XP_011557199.1
Px004608	XP_011557184.1
Px004609	XP_011557186.1
Px004610	XP_011557187.1
Px004611	XP_011557202.1
Px004612	XP_011557203.1
Px002511	XP_011567984.1
Px002226	XP_011567953.1
Px011172	XP_011562624.1
Px011173	XP_011550821.1
Px011174	XP_011550768.1
Px011175	XP_011550771.1
Px011176	XP_011550822.1
Px011177	XP_011550823.1
Px011178	XP_011565771.1
Px011179	XP_011565767.1
Px011180	XP_011558990.1
Px011181	XP_011550825.1
Px011182	XP_011550825.1
Px011183	XP_011550774.1
Px011184	XP_011550774.1
Px011185	XP_011550775.1
Px011187	XP_011550777.1
Px011188	XP_011550828.1
Px011189	XP_011550778.1
Px011190	XP_011558989.1
Px011191	XP_011550782.1
Px011192	XP_011550784.1
Px011193	XP_011550785.1
Px011194	XP_011550788.1
Px011195	XP_011550791.1
Px011196	XP_011550793.1
Px011197	XP_011550797.1
Px011198	XP_011550798.1
Px011199	XP_011550799.1
Px011200	XP_011550831.1
Px011201	XP_011550804.1
Px011202	XP_011550805.1
Px011205	XP_011550807.1
Px011207	XP_011550835.1
Px011208	XP_011550836.1
Px011209	XP_011550808.1
Px011210	XP_011565171.1
Px011211	XP_011550812.1
Px011212	XP_011550813.1
Px011214	XP_011550815.1
Px011215	XP_011550815.1
Px011217	XP_011550816.1
Px011218	XP_011550816.1
Px011219	XP_011550838.1
Px011220	XP_011550838.1
Px011221	XP_011550839.1
Px011222	XP_011550820.1
Px011223	XP_011550840.1
Px011980	XP_011564027.1
Px011981	XP_011564028.1
Px011982	XP_011564040.1
Px011983	XP_011564030.1
Px011984	XP_011564031.1
Px011985	XP_011564032.1
Px011986	XP_011564042.1
Px011987	XP_011564042.1
Px011989	XP_011564034.1
Px011990	XP_011564037.1
Px011991	XP_011564038.1
Px011992	XP_011568794.1
Px014278	XP_011551284.1
Px014279	XP_011551258.1
Px014281	XP_011556650.1
Px014285	XP_011562166.1
Px014286	XP_011551288.1
Px014287	XP_011551289.1
Px014288	XP_011551259.1
Px014289	XP_011562173.1
Px014290	XP_011551291.1
Px014291	XP_011551292.1
Px014292	XP_011551293.1
Px014293	XP_011551261.1
Px014294	XP_011551264.1
Px014295	XP_011568505.1
Px014297	XP_011551294.1
Px014298	XP_011551265.1
Px014299	XP_011551266.1
Px014300	XP_011551295.1
Px014302	XP_011551296.1
Px014303	XP_011557080.1
Px014304	XP_011551267.1
Px014305	XP_011551269.1
Px014306	XP_011551270.1
Px014307	XP_011551271.1
Px014308	XP_011551272.1
Px014309	XP_011551273.1
Px014310	XP_011551273.1
Px014311	XP_011551275.1
Px014312	XP_011551276.1
Px014313	XP_011551302.1
Px014314	XP_011551278.1
Px014315	XP_011551305.1
Px014316	XP_011551305.1
Px014317	XP_011551280.1
Px014318	XP_011551281.1
Px014319	XP_011551282.1
Px014320	XP_011551283.1
Px014321	XP_011560406.1
Px014322	XP_011551306.1
Px014323	XP_011551307.1
Px014324	XP_011560406.1
Px010415	XP_011560549.1
Px010416	XP_011560551.1
Px010417	XP_011560552.1
Px010418	XP_011560552.1
Px010419	XP_011560544.1
Px010421	XP_011560545.1
Px010422	XP_011560546.1
Px010423	XP_011560554.1
Px010424	XP_011560555.1
Px010425	XP_011560556.1
Px010426	XP_011556434.1
Px010427	XP_011560548.1
Px000974	XP_011554440.1
Px000975	XP_011554443.1
Px000976	XP_011554481.1
Px000977	XP_011554445.1
Px000978	XP_011554446.1
Px000979	XP_011554447.1
Px000980	XP_011554449.1
Px000981	XP_011554482.1
Px000982	XP_011554450.1
Px000983	XP_011554452.1
Px000984	XP_011554454.1
Px000985	XP_011554483.1
Px000986	XP_011554484.1
Px000987	XP_011549795.1
Px000988	XP_011568794.1
Px000990	XP_011554456.1
Px000991	XP_011554457.1
Px000992	XP_011554463.1
Px000993	XP_011554464.1
Px000994	XP_011554467.1
Px000995	XP_011554469.1
Px000996	XP_011554470.1
Px000997	XP_011554471.1
Px000998	XP_011554472.1
Px000999	XP_011554490.1
Px001000	XP_011554490.1
Px001002	XP_011554477.1
Px001004	XP_011554480.1
Px001005	XP_011554479.1
Px001006	XP_011554491.1
Px017195	XP_011568617.1
Px017196	XP_011568618.1
Px017197	XP_011568676.1
Px017198	XP_011568623.1
Px017199	XP_011568625.1
Px017200	XP_011568626.1
Px017201	XP_011568677.1
Px017202	XP_011551538.1
Px017203	XP_011551492.1
Px017204	XP_011568630.1
Px017205	XP_011568680.1
Px017206	XP_011568631.1
Px017207	XP_011568683.1
Px017208	XP_011568684.1
Px017209	XP_011568684.1
Px017210	XP_011568633.1
Px017211	XP_011568686.1
Px017212	XP_011556968.1
Px017213	XP_011568691.1
Px017214	XP_011568639.1
Px017215	XP_011568642.1
Px017216	XP_011568642.1
Px017217	XP_011568645.1
Px017218	XP_011568648.1
Px017219	XP_011552920.1
Px017220	XP_011568649.1
Px017221	XP_011568695.1
Px017222	XP_011568695.1
Px017224	XP_011568696.1
Px017225	XP_011569013.1
Px017226	XP_011568698.1
Px017228	XP_011568650.1
Px017229	XP_011568700.1
Px017231	XP_011568653.1
Px017232	XP_011568652.1
Px017233	XP_011568701.1
Px017234	XP_011549084.1
Px017237	XP_011568702.1
Px017239	XP_011568656.1
Px017240	XP_011561677.1
Px017241	XP_011556143.1
Px017242	XP_011568662.1
Px017243	XP_011568663.1
Px017244	XP_011568666.1
Px017245	XP_011568707.1
Px017246	XP_011551819.1
Px017247	XP_011568708.1
Px017248	XP_011568709.1
Px017251	XP_011568710.1
Px017252	XP_011560576.1
Px017253	XP_011568670.1
Px017254	XP_011561192.1
Px017256	XP_011560406.1
Px017257	XP_011568671.1
Px017258	XP_011568714.1
Px017259	XP_011568674.1
Px017260	XP_011568675.1
Px000607	XP_011550276.1
Px000608	XP_011550278.1
Px000609	XP_011550219.1
Px000610	XP_011550220.1
Px000611	XP_011550221.1
Px000612	XP_011550224.1
Px000613	XP_011550279.1
Px000614	XP_011550227.1
Px000615	XP_011550230.1
Px000616	XP_011550235.1
Px000617	XP_011550239.1
Px000618	XP_011550282.1
Px000619	XP_011550240.1
Px000620	XP_011550241.1
Px000621	XP_011550284.1
Px000622	XP_011550242.1
Px000623	XP_011550287.1
Px000624	XP_011550287.1
Px000625	XP_011550243.1
Px000626	XP_011550244.1
Px000627	XP_011550244.1
Px000628	XP_011550245.1
Px000629	XP_011550246.1
Px000630	XP_011550288.1
Px000631	XP_011550247.1
Px000632	XP_011557959.1
Px000633	XP_011550291.1
Px000635	XP_011560406.1
Px000637	XP_011550250.1
Px000638	XP_011550251.1
Px000639	XP_011550259.1
Px000640	XP_011550260.1
Px000641	XP_011550265.1
Px000643	XP_011550267.1
Px000644	XP_011550266.1
Px000645	XP_011550267.1
Px000646	XP_011550295.1
Px000647	XP_011550268.1
Px000648	XP_011550297.1
Px000649	XP_011550298.1
Px000650	XP_011550299.1
Px017344	XP_011566957.1
Px002429	XP_011547945.1
Px001633	XP_011567827.1
Px001450	XP_011565592.1
Px001451	XP_011564990.1
Px001453	XP_011565602.1
Px001454	XP_011565602.1
Px001455	XP_011565614.1
Px001456	XP_011565022.1
Px001457	XP_011565032.1
Px001458	XP_011565044.1
Px001459	XP_011565625.1
Px001460	XP_011565636.1
Px001461	XP_011565070.1
Px001462	XP_011565080.1
Px001463	XP_011565647.1
Px001464	XP_011565647.1
Px001465	XP_011552094.1
Px001466	XP_011565103.1
Px001467	XP_011565114.1
Px001468	XP_011565658.1
Px001469	XP_011565658.1
Px001470	XP_011565667.1
Px001471	XP_011558990.1
Px001474	XP_011565155.1
Px001475	XP_011565165.1
Px001476	XP_011565175.1
Px001477	XP_011565687.1
Px001479	XP_011565182.1
Px001480	XP_011565211.1
Px001481	XP_011565699.1
Px001483	XP_011565721.1
Px001484	XP_011552956.1
Px001485	XP_011558883.1
Px001486	XP_011558883.1
Px001487	XP_011565221.1
Px001488	XP_011565759.1
Px001489	XP_011565769.1
Px001490	XP_011565254.1
Px001491	XP_011565285.1
Px001492	XP_011565274.1
Px001493	XP_011565296.1
Px001494	XP_011565313.1
Px001495	XP_011551371.1
Px001496	XP_011565392.1
Px001497	XP_011565809.1
Px001498	XP_011565402.1
Px001499	XP_011565850.1
Px001500	XP_011565860.1
Px001501	XP_011565871.1
Px001502	XP_011565871.1
Px001503	XP_011565456.1
Px001504	XP_011565464.1
Px001505	XP_011565448.1
Px001506	XP_011565881.1
Px001507	XP_011565487.1
Px001508	XP_011565532.1
Px001509	XP_011565542.1
Px001510	XP_011565551.1
Px006842	XP_011559637.1
Px006843	XP_011567159.1
Px006846	XP_011559638.1
Px006847	XP_011559639.1
Px006848	XP_011559643.1
Px006849	XP_011548649.1
Px006850	XP_011559644.1
Px006851	XP_011559645.1
Px006852	XP_011559647.1
Px006853	XP_011548650.1
Px006854	XP_011559666.1
Px006855	XP_011559667.1
Px006856	XP_011559648.1
Px006857	XP_011559649.1
Px006858	XP_011559650.1
Px006859	XP_011559651.1
Px006860	XP_011559668.1
Px006861	XP_011559669.1
Px006862	XP_011559653.1
Px006863	XP_011559670.1
Px006864	XP_011559670.1
Px006865	XP_011558861.1
Px006866	XP_011559671.1
Px006867	XP_011563304.1
Px006868	XP_011559654.1
Px006869	XP_011559674.1
Px006870	XP_011559657.1
Px006872	XP_011559676.1
Px006873	XP_011559658.1
Px006874	XP_011559660.1
Px006875	XP_011559659.1
Px006876	XP_011559662.1
Px006877	XP_011559663.1
Px006878	XP_011559665.1
Px002389	XP_011567985.1
Px002390	XP_011567986.1
Px002391	XP_011567988.1
Px000914	XP_011547812.1
Px000915	XP_011547811.1
Px000916	XP_011547809.1
Px000917	XP_011568720.1
Px000919	XP_011568721.1
Px000920	XP_011568725.1
Px000921	XP_011568725.1
Px000922	XP_011568726.1
Px000923	XP_011568729.1
Px000924	XP_011568730.1
Px000925	XP_011568794.1
Px000926	XP_011568731.1
Px000927	XP_011556442.1
Px000928	XP_011568732.1
Px000929	XP_011568733.1
Px000931	XP_011568737.1
Px000932	XP_011556936.1
Px000934	XP_011568738.1
Px000935	XP_011568740.1
Px000936	XP_011568742.1
Px000937	XP_011568741.1
Px000938	XP_011568746.1
Px000939	XP_011568743.1
Px000940	XP_011568745.1
Px000941	XP_011568799.1
Px000942	XP_011568624.1
Px000945	XP_011568751.1
Px000946	XP_011568752.1
Px000948	XP_011568801.1
Px000949	XP_011561555.1
Px000950	XP_011568753.1
Px000951	XP_011568755.1
Px000952	XP_011568758.1
Px000953	XP_011568759.1
Px000954	XP_011568760.1
Px000955	XP_011568804.1
Px000956	XP_011568767.1
Px000957	XP_011568764.1
Px000960	XP_011568768.1
Px000961	XP_011568770.1
Px000962	XP_011568772.1
Px000963	XP_011568771.1
Px000964	XP_011568773.1
Px000965	XP_011568775.1
Px000966	XP_011568777.1
Px000967	XP_011568778.1
Px000968	XP_011568805.1
Px000969	XP_011568781.1
Px000970	XP_011549548.1
Px000971	XP_011568783.1
Px000972	XP_011568787.1
Px000973	XP_011568806.1
Px013476	XP_011565006.1
Px013477	XP_011564992.1
Px013478	XP_011553181.1
Px013479	XP_011565008.1
Px013480	XP_011564993.1
Px013482	XP_011564996.1
Px013483	XP_011564997.1
Px013484	XP_011565002.1
Px013485	XP_011565005.1
Px007847	XP_011558938.1
Px007848	XP_011549695.1
Px007849	XP_011549696.1
Px007850	XP_011549697.1
Px007851	XP_011564139.1
Px007852	XP_011549700.1
Px007853	XP_011552374.1
Px007854	XP_011549701.1
Px007855	XP_011549645.1
Px007857	XP_011549645.1
Px007858	XP_011556624.1
Px007860	XP_011549702.1
Px007861	XP_011549647.1
Px007862	XP_011562146.1
Px007863	XP_011549657.1
